user_id,full_name,pan,pan_flag,aadhaar,aadhaar_flag,city,state,occupation,monthly_income,signup_timestamp,kyc_status,risk_segment,resolution_type,resolution_confidence,raw_record_count,conflict_details
USR10001,Osha Dewan,XZDVU00501,MALFORMED_PAN_FORMAT,513399118310,VALID_12_DIGIT_AADHAAR,Poona,Maharashtra,Retired,37535.0,2025-09-27 00:00:00,VERIFIED,MEDIUM,SINGLETON,1.0,1,No duplicate records found
USR10007,Yutika Borra,,MISSING_PAN,110185359606,VALID_12_DIGIT_AADHAAR,Bangalore,Karnataka,Unemployed,20393.0,2025-02-07 00:00:00,VERIFIED,MEDIUM,SINGLETON,1.0,1,No duplicate records found
USR10010,Warda Dada,WJVZZ1464B,VALID_PAN,109561772042,VALID_12_DIGIT_AADHAAR,Jalandar,Punjab,Gig Worker,48376.0,2024-07-26 09:55:29,PENDING,HIGH,SINGLETON,1.0,1,No duplicate records found
USR10013,Azaan Nigam,LQQSW5207I,VALID_PAN,775810013345,VALID_12_DIGIT_AADHAAR,Pune,Maharashtra,Salaried,,2025-10-09 00:00:00,VERIFIED,HIGH,SINGLETON,1.0,1,No duplicate records found
USR10014,Nisha Patil,RPDIH8589M,VALID_PAN,XXXXXXXX9228,MASKED_AADHAAR,Bombay,Maharashtra,Freelancer,18633.0,2026-01-28 00:00:00,VERIFIED,MEDIUM,SINGLETON,1.0,1,No duplicate records found
USR10015,Nitara Butala,ZATCW5166R,VALID_PAN,935509473494,VALID_12_DIGIT_AADHAAR,Ldh,Punjab,Freelancer,7232.0,2026-02-10 00:00:00,VERIFIED,LOW,SINGLETON,1.0,1,No duplicate records found
USR10020,Ekaraj Bora,OBRCZ2255G,VALID_PAN,636655257298,VALID_12_DIGIT_AADHAAR,Delhi,Delhi,Retired,31737.0,2024-04-10 00:00:00,VERIFIED,MEDIUM,SINGLETON,1.0,1,No duplicate records found
USR10022,Unni Bajaj,OASHV5339A,VALID_PAN,002445941007,VALID_12_DIGIT_AADHAAR,Asr,Punjab,Gig Worker,,2026-02-02 18:39:00,VERIFIED,LOW,SINGLETON,1.0,1,No duplicate records found
USR10024,Hemang Kumar,UBHIY9130I,VALID_PAN,219732029547,VALID_12_DIGIT_AADHAAR,Kolkata,West Bengal,Salaried,0.22557,2024-11-19 01:48:00,VERIFIED,HIGH,SINGLETON,1.0,1,No duplicate records found
USR10027,Aayush Shenoy,SXXAL10941,MALFORMED_PAN_FORMAT,938169384804,VALID_12_DIGIT_AADHAAR,Dilli,Delhi,Retired,18134.0,,VERIFIED,LOW,SINGLETON,1.0,1,No duplicate records found
USR10030,Nirja Subramanian,UCCFI2469W,VALID_PAN,XXXXXXXX7814,MASKED_AADHAAR,Chennai,Tamil Nadu,Unemployed,83400.0,2024-08-03 16:27:00,VERIFIED,MEDIUM,SINGLETON,1.0,1,No duplicate records found
USR10031,Yasti Sami,IKRBX1473T,VALID_PAN,555438243372,VALID_12_DIGIT_AADHAAR,Poona,Maharashtra,Self Employed,27676.0,2026-02-03 00:00:00,PENDING,LOW,SINGLETON,1.0,1,No duplicate records found
