merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size,resolution_type,resolution_confidence,raw_record_count,conflict_details
MCH1001,Anand-Kothari,,Grocery,Partnership,Pune,Maharashtra,2026-02-17 06:54:00,7962506762,ACTIVE,332.55,SINGLETON,1.0,1,No duplicates
MCH1002,"Apte, Saha And Edwin",5812,Restaurant,Private_Limited,Bangalore,Karnataka,2026-01-07 09:01:00,XXXX8596,ACTIVE,1671.2,SINGLETON,1.0,1,No duplicates
MCH1003,"Nayar, Batta And Barad",5699,Apparel,Private Limited,Chennai,Tamil Nadu,,,ACTIVE,792.91,SINGLETON,1.0,1,No duplicates
MCH1004,Pillai-Mohan,4131,Transportation,Sole-Proprietor,Lko,Uttar Pradesh,2023-04-08 00:00:00,3448414449,ACTIVE,342.7,SINGLETON,1.0,1,No duplicates
MCH1005,Sagar And Sons,5912,Pharmacy,Partnership,Ludhiana,Punjab,2024-02-06 00:00:00,IPTY9767700049775,ACTIVE,967.53,SINGLETON,1.0,1,No duplicates
MCH1007,"Sunder, Wason And Pau",5812,Restaurant,Partnership,Jaipur,Rajasthan,2023-11-19 00:00:00,,ACTIVE,164.45,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Sunder, Wason And Pau', 'Jain-Wadhwa']; Conflicting Categories: ['Eating Place', 'Hotel_Lodging']; Conflicting Cities: ['Jaipur', 'Chennai']"
MCH1009,Bha11A-Dave,,Transportation,Individual,Mumbai,Maharashtra,2024-01-08 00:00:00,BAVP5007663773178,ACTIVE,1496.0,SINGLETON,1.0,1,No duplicates
MCH1010,Menon-Andra,,Grocery,Private-Limited,Delhi,Delhi,2024-11-17 00:00:00,XXXX4837,ACTIVE,678.36,SINGLETON,1.0,1,No duplicates
MCH1011,Wable And Sons,5411,Grocery,Private_Limited,Ludhiana,Punjab,2023-11-02 00:00:00,,ACTIVE,6536.07,FORMATTING_DUPLICATE,0.85,2,2 records with formatting variations consolidated
MCH1014,"Agate, Saxena And Pandit",5311,Department Store,Partnership,Jalandar,Punjab,2023-12-21 00:00:00,3851769270,ACTIVE,1096.96,CONFLICTING_MERCHANT_RECORD,0.55,2,"Conflicting Names: ['Raghavan, Barad And Bahl', 'Agate, Saxena And Pandit']; Conflicting Categories: ['Food', 'Department Store']; Conflicting Cities: ['Pune', 'Jalandar']"
MCH1015,Mannan-Subramaniam,7011,Hotel & Lodging,Individual,Hyd,Telangana,2024-05-19 00:00:00,,ACTIVE,1116.83,SINGLETON,1.0,1,No duplicates
